,Tweet,Date
0,"RT @metalpaysme: That’s right - you can buy crypto for less when you HODL more $MTL.

Want to dodge those pesky fees when buying #Bitcoin?…",2020-02-11 23:59:59
1,"RT @CryptosUs: StealthEX Interview with Oktoshi, Lead Dev of Okcash
https://t.co/eE7zjrHVyk
#Bitcoin #Okcash $OK $BTC $XBT #Altcoins #Excha…",2020-02-11 23:59:58
2,"RT @CryptoWhale: BREAKING: Fed Chairman Jerome Powell sees the need for private transactions of digital currencies in the United States.

T…",2020-02-11 23:59:58
3,"RT @KitUdemba100: In bitcoin world we have two types of people. The ones that play checkers (draughts) and the ones that play chess.

Peopl…",2020-02-11 23:59:56
4,"RT @thecryptokidd: Welcome to the future of money.

Keep your #Bitcoin secure using the #BitcoinCash Register app or a simple QR code when…",2020-02-11 23:59:55
5,PlusToken Scam Moves $123M in Bitcoin Just as BTC Price Regains $10K https://t.co/mTMMiKyRNH via @cointelegraph,2020-02-11 23:59:53
6,That was rather bullish #Bitcoin https://t.co/eIm1X6pTw5,2020-02-11 23:59:52
7,"RT @crowdfluence1: Join me in the chat 8pm Est to meet Scott Heninger. 

Carnomoly introduces a new way to shop for your car right at your…",2020-02-11 23:59:42
8,"RT @BVBTC: The “American Dream” of owning a home with a white picket fence etc etc is, at its core, simply a desire for security, for a wea…",2020-02-11 23:59:40
9,"RT @giveawayABC: 🚨$25 #ETH #Giveaway from @VibraVidInc! 🚨

Join:
✅Follow:@proguerra+@BeatzCoin+@giveawayABC+@Crypto_Tone1
✅Retweet+Like+Tag…",2020-02-11 23:59:34
10,"RT @TeddyCleps: #BITCOIN | $BTC

Is history going to repeat? 🌀

__

1. Break of rising wedge

2. Panic, loads of it

3. Formation of down c…",2020-02-11 23:59:34
11,@eatmykarbon Bitcoin fixes this!,2020-02-11 23:59:30
12,"RT @glassnode: Historically, when #Bitcoin has approached local or global tops, we've seen increased deposits to exchanges as investors loo…",2020-02-11 23:59:30
13,42 mins well spent! A video everyone should watch to understand the huge problems of the current financial market… https://t.co/dHqsgASlIV,2020-02-11 23:59:29
14,"RT @Rhett800cc: Honored to be interviewed in Miami with @juellz3 !

We talk about #800cc and the Future of #Bitcoin and #Altcoins

https://…",2020-02-11 23:59:28
15,Bitcoin Has A Good Prediction for 2020 https://t.co/6exMnPQG6e,2020-02-11 23:59:28
16,"RT @CoinMajorIO: Giving away $10 #Bitcoin! Read below to find out how to enter! Winner will be chosen on 2/11/2020

✅Follow me
✅Like this p…",2020-02-11 23:59:24
17,"RT @gladstein: What would the future look like if Satoshi had never invented decentralized, digital, scarce money?

I paint a picture of th…",2020-02-11 23:59:23
18,"#Bitcoin Ethereum: Invest? YES/NO (part1) https://t.co/Mjk1efBfqE

Ndidi
Black Panther
Kendrick Lamar
Apple
Vector… https://t.co/r6IAkr6CmR",2020-02-11 23:59:23
19,"$113,000,000,000 in #Bitcoin HODL'd https://t.co/dupIxAJzHk #BTC $BTC #HODL https://t.co/o6DtuUP5Yi",2020-02-11 23:59:22
20,"Users of https://t.co/UtJJm8netW Exchange Can Win Rewards Worth $25,000 in Gocrypto Trading Competition… https://t.co/G8Wjlib0qi",2020-02-11 23:59:22
21,Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/e6WCKeUoVT,2020-02-11 23:59:21
22,"RT @CInvestCEO: #BITCOIN GIVEAWAY to Win
.        🔥$100 You Must🔥
.
1. Like❤Retweet 💰
2. Follow @CInvestCEO 👈
3. Tag 5 Friends
.
DO U LIKE…",2020-02-11 23:59:20
23,"RT @drydrunkpig: I'm seeing a lot of hacked accounts, so just a reminder:

If you get a random message with a suspicious link, dont click i…",2020-02-11 23:59:20
24,"RT @MartiniGuyYT: There is 87 days left till #BitcoinHalving

In the 87 days before the last #Bitcoin halving there was huge volatility but…",2020-02-11 23:59:19
25,"I'm live on #YouTube, grab a snack and join me

#Subscribe #Retweet
#ico #ethereum #crypto #crowdfunding… https://t.co/RNcs3HMUtm",2020-02-11 23:59:18
26,"RT @ToxicTeaghan: @action_bri I’m here for it! And Oouuu, can you teach me a little about Bitcoin? All I know is that it’s untraceable.",2020-02-11 23:59:15
27,"RT @dextrade_: 🔥Bitcoin halving is one of the most important crypto events of 2020. 

📈Bloggers and analytics are predicting Bitcoin to go…",2020-02-11 23:59:12
28,"@action_bri I’m here for it! And Oouuu, can you teach me a little about Bitcoin? All I know is that it’s untraceable.",2020-02-11 23:59:08
29,Top Bitcoin Developers Face Off in a Lightning-Powered Boxing Match https://t.co/VrUVakLYLW,2020-02-11 23:59:05
30,"#RT @CryptoTraders: Join https://t.co/Gi4Fo9Xxly 👍 now and start growing your balance with the faucet, altcoin Exch… https://t.co/lC4QuC2UFm",2020-02-11 23:59:04
31,Muneeb Ali Explains Blockstack’s Big Bet on Bitcoin https://t.co/5SUYDU6Bxk,2020-02-11 23:59:04
32,"What if I believed in Bitcoin about 6 years ago, and I bought it instead of spending $50 per week for a new unneces… https://t.co/9HbZ05NKUC",2020-02-11 23:59:02
33,“Muneeb Ali Explains Blockstack’s Big Bet on #Bitcoin” https://t.co/i41rJ44TMJ,2020-02-11 23:59:01
34,"RT @CNBCFastMoney: Bitcoin's back above $10K, what's different this time around? $BTC https://t.co/FiWU4AIDmE",2020-02-11 23:58:59
35,RT @DTAPCAP: Usd/Brazilian Real. Tweeted this pic last yr of incredible cup and handle pattern that would eventually move lower for brl/hig…,2020-02-11 23:58:54
